game.id,details.maxplayers,details.minage,details.yearpublished,stats.average,details.minplayers,details.minplaytime,details.maxplaytime,stats.subtype.boardgame.bayesaverage,stats.subtype.boardgame.pos,stats.averageweight,stats.usersrated,attributes.boardgamemechanic_Acting,attributes.boardgamemechanic_Action / Movement Programming,attributes.boardgamemechanic_Action Point Allowance System,attributes.boardgamemechanic_Area-Impulse,attributes.boardgamemechanic_Area Control / Area Influence,attributes.boardgamemechanic_Area Enclosure,attributes.boardgamemechanic_Area Movement,attributes.boardgamemechanic_Auction/Bidding,attributes.boardgamemechanic_Betting/Wagering,attributes.boardgamemechanic_Campaign / Battle Card Driven,attributes.boardgamemechanic_Card Drafting,attributes.boardgamemechanic_Chit-Pull System,attributes.boardgamemechanic_Co-operative Play,attributes.boardgamemechanic_Commodity Speculation,attributes.boardgamemechanic_Crayon Rail System,attributes.boardgamemechanic_Deck / Pool Building,attributes.boardgamemechanic_Dice Rolling,attributes.boardgamemechanic_Grid Movement,attributes.boardgamemechanic_Hand Management,attributes.boardgamemechanic_Hex-and-Counter,attributes.boardgamemechanic_Line Drawing,attributes.boardgamemechanic_Memory,attributes.boardgamemechanic_Modular Board,attributes.boardgamemechanic_Paper-and-Pencil,attributes.boardgamemechanic_Partnerships,attributes.boardgamemechanic_Pattern Building,attributes.boardgamemechanic_Pattern Recognition,attributes.boardgamemechanic_Pick-up and Deliver,attributes.boardgamemechanic_Player Elimination,attributes.boardgamemechanic_Point to Point Movement,attributes.boardgamemechanic_Press Your Luck,attributes.boardgamemechanic_Rock-Paper-Scissors,attributes.boardgamemechanic_Role Playing,attributes.boardgamemechanic_Roll / Spin and Move,attributes.boardgamemechanic_Route/Network Building,attributes.boardgamemechanic_Secret Unit Deployment,attributes.boardgamemechanic_Set Collection,attributes.boardgamemechanic_Simulation,attributes.boardgamemechanic_Simultaneous Action Selection,attributes.boardgamemechanic_Singing,attributes.boardgamemechanic_Stock Holding,attributes.boardgamemechanic_Storytelling,attributes.boardgamemechanic_Take That,attributes.boardgamemechanic_Tile Placement,attributes.boardgamemechanic_Time Track,attributes.boardgamemechanic_Trading,attributes.boardgamemechanic_Trick-taking,attributes.boardgamemechanic_Variable Phase Order,attributes.boardgamemechanic_Variable Player Powers,attributes.boardgamemechanic_Voting,attributes.boardgamemechanic_Worker Placement,attributes.boardgamecategory_Abstract Strategy,attributes.boardgamecategory_Action / Dexterity,attributes.boardgamecategory_Adventure,attributes.boardgamecategory_Age of Reason,attributes.boardgamecategory_American Civil War,attributes.boardgamecategory_American Indian Wars,attributes.boardgamecategory_American Revolutionary War,attributes.boardgamecategory_American West,attributes.boardgamecategory_Ancient,attributes.boardgamecategory_Animals,attributes.boardgamecategory_Arabian,attributes.boardgamecategory_Aviation / Flight,attributes.boardgamecategory_Bluffing,attributes.boardgamecategory_Book,attributes.boardgamecategory_Card Game,attributes.boardgamecategory_Children's Game,attributes.boardgamecategory_City Building,attributes.boardgamecategory_Civil War,attributes.boardgamecategory_Civilization,attributes.boardgamecategory_Collectible Components,attributes.boardgamecategory_Comic Book / Strip,attributes.boardgamecategory_Deduction,attributes.boardgamecategory_Dice,attributes.boardgamecategory_Economic,attributes.boardgamecategory_Educational,attributes.boardgamecategory_Electronic,attributes.boardgamecategory_Environmental,attributes.boardgamecategory_Expansion for Base-game,attributes.boardgamecategory_Exploration,attributes.boardgamecategory_Fantasy,attributes.boardgamecategory_Farming,attributes.boardgamecategory_Fighting,attributes.boardgamecategory_Game System,attributes.boardgamecategory_Horror,attributes.boardgamecategory_Humor,attributes.boardgamecategory_Industry / Manufacturing,attributes.boardgamecategory_Mafia,attributes.boardgamecategory_Math,attributes.boardgamecategory_Mature / Adult,attributes.boardgamecategory_Maze,attributes.boardgamecategory_Medical,attributes.boardgamecategory_Medieval,attributes.boardgamecategory_Memory,attributes.boardgamecategory_Miniatures,attributes.boardgamecategory_Modern Warfare,attributes.boardgamecategory_Movies / TV / Radio theme,attributes.boardgamecategory_Murder/Mystery,attributes.boardgamecategory_Music,attributes.boardgamecategory_Mythology,attributes.boardgamecategory_Napoleonic,attributes.boardgamecategory_Nautical,attributes.boardgamecategory_Negotiation,attributes.boardgamecategory_Novel-based,attributes.boardgamecategory_Number,attributes.boardgamecategory_Party Game,attributes.boardgamecategory_Pike and Shot,attributes.boardgamecategory_Pirates,attributes.boardgamecategory_Political,attributes.boardgamecategory_Post-Napoleonic,attributes.boardgamecategory_Prehistoric,attributes.boardgamecategory_Print & Play,attributes.boardgamecategory_Puzzle,attributes.boardgamecategory_Racing,attributes.boardgamecategory_Real-time,attributes.boardgamecategory_Religious,attributes.boardgamecategory_Renaissance,attributes.boardgamecategory_Science Fiction,attributes.boardgamecategory_Space Exploration,attributes.boardgamecategory_Spies/Secret Agents,attributes.boardgamecategory_Sports,attributes.boardgamecategory_Territory Building,attributes.boardgamecategory_Trains,attributes.boardgamecategory_Transportation,attributes.boardgamecategory_Travel,attributes.boardgamecategory_Trivia,attributes.boardgamecategory_Video Game Theme,attributes.boardgamecategory_Vietnam War,attributes.boardgamecategory_Wargame,attributes.boardgamecategory_Word Game,attributes.boardgamecategory_World War I,attributes.boardgamecategory_World War II,attributes.boardgamecategory_Zombies
10,6,10,1998,6.74996,2,60,60,6.58428,709,2.1649,6729,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,7,13,1997,7.06751,2,45,45,6.9828,336,1.6777,28354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,10,1995,7.26569,3,60,120,7.12528,233,2.3603,67655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,12,1977,6.9347,2,90,90,6.59068,702,2.3708,3629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8,12,1994,7.15355,2,45,120,7.04248,293,2.434,19371,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,12,1988,7.43592,2,90,90,6.22524,1335,3.1636,602,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,12,1997,6.66812,2,240,240,5.9475,2174,3.4902,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,6,12,1998,5.93231,2,200,200,5.58913,5930,3.2105,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,6,12,1984,5.57724,2,340,340,5.48991,11612,3.1404,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,8,12,1987,6.5289,2,60,180,6.27683,1215,2.6489,4274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
