game_id,name,maxplayers,minage,yearpublished,average,minplayers,minplaytime,maxplaytime,language_dependence,pos,boardgameartist,boardgamecategory,boardgamedesigner,boardgamemechanic,averageweight,usersrated,player_spread,time_spread,discrete_years,discrete_weights
10,Elfenland,6,10,1998,6.74996,2,60,60,No,709,Doris Matthäus,"Fantasy,Travel",Alan R. Moon,"Card Drafting,Hand Management,Point to Point Movement,Route/Network Building",2.1649,6729,4,0,2000,2
11,Bohnanza,7,13,1997,7.06751,2,45,45,No,336,"Fréderic Bertrand,Marek Bláha,Andrea Boekhoff,Klemens Franz,Oliver Freudenreich,Inge George,Guido Hoffmann,Alexander Jung,Harald Lieske,Atelier Löwentor,Doris Matthäus,Björn Pertoft,Uwe Rosenberg,Johann Rüttinger,Barbara Stachuletz,Franz Vohwinkel,Markus Wagner","Card Game,Farming,Negotiation",Uwe Rosenberg,"Hand Management,Set Collection,Trading",1.6777,28354,5,0,1995,1.5
13,Catan,4,10,1995,7.26569,3,60,120,Some,233,"Volkan Baga,Tanja Donner,Pete Fenlon,Jason Hawkins,Michaela Kienle,Harald Lieske,Michael Menzel,Marion Pott,Matt Schwabel,Franz Vohwinkel,Stephen Graham Walsh",Negotiation,Klaus Teuber,"Dice Rolling,Hand Management,Modular Board,Route/Network Building,Trading",2.3603,67655,1,60,1995,2.5
15,Cosmic Encounter,6,12,1977,6.9347,2,90,90,Moderate,702,"John Blanche,Chris Ferguson,Anders Jeppsson,Dean Morrissey,Paul Render,Lori Walls","Bluffing,Negotiation,Science Fiction","Bill Eberle,Jack Kittredge,Bill Norton,Peter Olotka","Hand Management,Variable Player Powers",2.3708,3629,4,0,1975,2.5
18,RoboRally,8,12,1994,7.15355,2,45,120,Moderate,293,"Peter Bergting,Bob Carasca,Phil Foglio,Daniel Gelon,Jennifer Lathrop,Paul Sottosanti,Franz Vohwinkel,Peter Whitley","Miniatures,Racing,Science Fiction",Richard Garfield,"Action / Movement Programming,Grid Movement,Modular Board,Simultaneous Action Selection",2.434,19371,6,75,1995,2.5
20,Full Metal Planète,4,12,1988,7.43592,2,90,90,No,1335,Pascal Trigaux,Science Fiction,"Gérard Delfanti,Gérard Mathieu,Pascal Trigaux",Action Point Allowance System,3.1636,602,2,0,1990,3
24,Twilight Imperium,6,12,1997,6.66812,2,240,240,NA,2174,Bill Heagy,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame",Christian T. Petersen,"Dice Rolling,Hex-and-Counter,Modular Board,Tile Placement,Variable Player Powers,Voting",3.4902,667,4,0,1995,3.5
27,Supremacy,6,12,1984,5.57724,2,340,340,Some,11612,NA,"Economic,Political,Wargame",Robert J. Simpson,"Commodity Speculation,Dice Rolling",3.1404,1201,4,0,1985,3
28,Illuminati:  Deluxe Edition,8,12,1987,6.5289,2,60,180,Extensive,1215,"Jeffrey D. George,John Grigni,C. Mara Lee,Carl Manz,Dave Martin,Shea Ryan,Dan Smith,Czeslaw Sornat,Cliff Van Meter","Card Game,Humor,Negotiation,Political",Steve Jackson (I),"Card Drafting,Dice Rolling,Route/Network Building,Tile Placement,Variable Player Powers",2.6489,4274,6,120,1985,2.5
31,Dark World,5,10,1992,5.18525,2,90,90,No,13438,Chris Baker,"Adventure,Exploration,Fantasy,Fighting,Miniatures",Eamon Bloomfield,"Dice Rolling,Grid Movement",1.9592,590,3,0,1990,2
